cluster	gene	symbol
3	ENSMUSG00000073979	Dmkn
3	ENSMUSG00000079517	Krt79
3	ENSMUSG00000081225	Cldn24
3	ENSMUSG00000082339	Ctnna2
3	ENSMUSG00000084170	Krt73
3	ENSMUSG00000089960	Gm8973
3	ENSMUSG00000094005	Gsdma3
3	ENSMUSG00000095195	Cntn4
3	ENSMUSG00000095680	Cyp4a10
3	ENSMUSG00000096363	Serpina3b
3	ENSMUSG00000101431	Xlr5c
3	ENSMUSG00000103206	Bpifb3
4	ENSMUSG00000003882	Sdr16c6
4	ENSMUSG00000020914	Krtap26-1
4	ENSMUSG00000025652	Foxr2
4	ENSMUSG00000026039	Gm94
4	ENSMUSG00000027107	Fam46d
4	ENSMUSG00000027761	Xlr3b
4	ENSMUSG00000032012	Gm9144
4	ENSMUSG00000039883	Gm8773
4	ENSMUSG00000040985	Lrrc30
4	ENSMUSG00000041608	4931408C20Rik
4	ENSMUSG00000044748	Gm13102
4	ENSMUSG00000045680	Nps
4	ENSMUSG00000047562	Olfr547
4	ENSMUSG00000058173	Chrm5
4	ENSMUSG00000073125	Oxct2a
4	ENSMUSG00000078949	Trbv2
4	ENSMUSG00000079620	Igkv4-91
4	ENSMUSG00000083319	Igkv6-13
5	ENSMUSG00000015665	Ighg2c
5	ENSMUSG00000018986	Ighv4-1
5	ENSMUSG00000025479	Trim30c
5	ENSMUSG00000026430	Gm12695
5	ENSMUSG00000027015	Mup10
5	ENSMUSG00000027380	R3hdml
5	ENSMUSG00000032517	Serpina3j
5	ENSMUSG00000033765	Gm3086
5	ENSMUSG00000034634	C86695
5	ENSMUSG00000049580	Gm8787
5	ENSMUSG00000049685	Muc4
5	ENSMUSG00000053765	Gm9385
5	ENSMUSG00000061397	4930455H04Rik
5	ENSMUSG00000066364	Gm15497
5	ENSMUSG00000071019	Gm13552
5	ENSMUSG00000074939	Gm11783
5	ENSMUSG00000078680	Cyp2j12
5	ENSMUSG00000079013	Gm13170
5	ENSMUSG00000080848	Gm13991
5	ENSMUSG00000081142	Gm1866
5	ENSMUSG00000101939	Gm11196
6	ENSMUSG00000010122	Gm14028
6	ENSMUSG00000022868	Gm3712
6	ENSMUSG00000026011	Gm7857
6	ENSMUSG00000034926	Gm15546
6	ENSMUSG00000038515	Gm11284
6	ENSMUSG00000039620	Gm12873
6	ENSMUSG00000042861	Gm6645
6	ENSMUSG00000047036	Gm16123
6	ENSMUSG00000048721	Gm11954
6	ENSMUSG00000053184	Gm8668
6	ENSMUSG00000053469	Gm11637
6	ENSMUSG00000054169	Gm13789
6	ENSMUSG00000054203	Ncr3-ps
6	ENSMUSG00000054659	Gm15681
6	ENSMUSG00000061974	Mroh3
6	ENSMUSG00000073007	A530032D15Rik
6	ENSMUSG00000073375	Ugt1a1
6	ENSMUSG00000073723	Gm11492
6	ENSMUSG00000083554	Gm6434
6	ENSMUSG00000094278	Gm8741
6	ENSMUSG00000100318	Zfp964
6	ENSMUSG00000103096	Art2a-ps
7	ENSMUSG00000015880	Gm12625
7	ENSMUSG00000022986	Gm12626
7	ENSMUSG00000024791	Gm3005
7	ENSMUSG00000026413	Ighv5-9
7	ENSMUSG00000026416	Gm12627
7	ENSMUSG00000027326	Gm15128
7	ENSMUSG00000028018	Gm3500
7	ENSMUSG00000028236	Gm10715
7	ENSMUSG00000030074	Gm12621
7	ENSMUSG00000031230	Rps12-ps16
7	ENSMUSG00000032013	CR974586.4
7	ENSMUSG00000033419	Gm3591
7	ENSMUSG00000037318	Ptprcap
7	ENSMUSG00000039079	Gm7928
7	ENSMUSG00000041911	Rps12l2
7	ENSMUSG00000042724	Btg1-ps2
7	ENSMUSG00000046095	Gm18799
7	ENSMUSG00000047786	Vmn1r90
7	ENSMUSG00000048699	AC118721.1
7	ENSMUSG00000050578	Gm18666
7	ENSMUSG00000055874	Gm28438
7	ENSMUSG00000058914	Ldhal6b
7	ENSMUSG00000063063	RP24-72B22.2
7	ENSMUSG00000083794	RP23-245M20.4
7	ENSMUSG00000098348	CTLA4
8	ENSMUSG00000078639	RP23-436F15.5
8	ENSMUSG00000087230	Map4
