geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0060562	epithelial tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060562	355	13	3.7263642246027753	3.488655218985144	9.339203855240896e-5	0.00689403048223237	16870;17702;18612;19713;20115;20319;20666;20682;21420;22160;56753;107586;207920	ENSMUSG00000000247;ENSMUSG00000000567;ENSMUSG00000017724;ENSMUSG00000021469;ENSMUSG00000027996;ENSMUSG00000028640;ENSMUSG00000030110;ENSMUSG00000035799;ENSMUSG00000037279;ENSMUSG00000040728;ENSMUSG00000051397;ENSMUSG00000061477;ENSMUSG00000063632
GO:0022612	gland morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022612	143	8	1.501042490473794	5.329629274834754	1.3105686991710108e-4	0.008868181531057173	14178;17702;18612;20682;20724;21420;22061;207920	ENSMUSG00000000567;ENSMUSG00000017724;ENSMUSG00000021469;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000028640;ENSMUSG00000040728;ENSMUSG00000067006
GO:0001763	morphogenesis of a branching structure	http://amigo.geneontology.org/amigo/term/GO:0001763	230	10	2.4142641455172913	4.142048838594401	1.5647327825119017e-4	0.009773561687689725	14178;17702;18612;20319;20682;21420;22061;56753;72780;207920	ENSMUSG00000000567;ENSMUSG00000017724;ENSMUSG00000019880;ENSMUSG00000021469;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000027996;ENSMUSG00000028640;ENSMUSG00000040728;ENSMUSG00000051397
GO:0042476	odontogenesis	http://amigo.geneontology.org/amigo/term/GO:0042476	121	7	1.270112876554749	5.511321181931393	2.831528139559669e-4	0.01642286320944608	12842;13390;13393;17702;22061;22160;58208	ENSMUSG00000001506;ENSMUSG00000001510;ENSMUSG00000021469;ENSMUSG00000022510;ENSMUSG00000035799;ENSMUSG00000041911;ENSMUSG00000048251
GO:0035148	tube formation	http://amigo.geneontology.org/amigo/term/GO:0035148	165	8	1.7319721043928393	4.61901203819012	3.486918704125319e-4	0.018875853251665062	16870;19713;20115;20319;20666;20682;22160;107586	ENSMUSG00000000247;ENSMUSG00000000567;ENSMUSG00000027996;ENSMUSG00000030110;ENSMUSG00000035799;ENSMUSG00000037279;ENSMUSG00000061477;ENSMUSG00000063632
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	356	12	3.7368610252354593	3.2112513467754344	3.733557844359803e-4	0.018947806060126	12824;12842;14560;17702;17928;20319;20666;20682;20750;22061;22160;107250	ENSMUSG00000000567;ENSMUSG00000001506;ENSMUSG00000021469;ENSMUSG00000021943;ENSMUSG00000022483;ENSMUSG00000022510;ENSMUSG00000025213;ENSMUSG00000026459;ENSMUSG00000027996;ENSMUSG00000029304;ENSMUSG00000035799;ENSMUSG00000063632
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	279	10	2.928607376518801	3.414592232533019	7.236452225711787e-4	0.03355451540151962	12406;12824;12842;20319;20682;20724;54631;76293;107250;241639	ENSMUSG00000000567;ENSMUSG00000001506;ENSMUSG00000006649;ENSMUSG00000022483;ENSMUSG00000025213;ENSMUSG00000027356;ENSMUSG00000027996;ENSMUSG00000042436;ENSMUSG00000067006;ENSMUSG00000070436
GO:0060326	cell chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0060326	280	10	2.939104177151485	3.4023972602739723	7.438193069302379e-4	0.03355451540151962	14205;17329;18606;20085;20296;20306;20750;22121;80903;97165	ENSMUSG00000022425;ENSMUSG00000029304;ENSMUSG00000029417;ENSMUSG00000031230;ENSMUSG00000031380;ENSMUSG00000035373;ENSMUSG00000035385;ENSMUSG00000040952;ENSMUSG00000054717;ENSMUSG00000074129
GO:1905330	regulation of morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:1905330	105	6	1.1021640664318069	5.4438356164383555	8.278373401215955e-4	0.03537915369361766	14178;16878;18612;20319;20682;56753	ENSMUSG00000000567;ENSMUSG00000017724;ENSMUSG00000027208;ENSMUSG00000027996;ENSMUSG00000034394;ENSMUSG00000051397
GO:0051302	regulation of cell division	http://amigo.geneontology.org/amigo/term/GO:0051302	152	7	1.595513696167949	4.38730173035328	0.0011077662711150849	0.044975310607272445	14178;14205;16319;17242;20319;22061;69073	ENSMUSG00000022510;ENSMUSG00000024660;ENSMUSG00000027208;ENSMUSG00000027239;ENSMUSG00000027996;ENSMUSG00000031380;ENSMUSG00000037600
