% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:1903504,"regulation of mitotic spindle checkpoint",0.066%,-1.7479,0.727,0.308,"regulation of receptor-mediated endocytosis"
GO:0060294,"cilium movement involved in cell motility",0.090%,-1.5286,0.818,0.360,"regulation of receptor-mediated endocytosis"
GO:0000132,"establishment of mitotic spindle orientation",0.090%,-1.3851,0.764,0.478,"regulation of receptor-mediated endocytosis"
GO:0034501,"protein localization to kinetochore",0.076%,-1.4507,0.885,0.393,"regulation of receptor-mediated endocytosis"
GO:0090656,"t-circle formation",0.038%,-1.4879,0.814,0.479,"regulation of receptor-mediated endocytosis"
GO:0002115,"store-operated calcium entry",0.076%,-1.6816,0.914,0.195,"regulation of receptor-mediated endocytosis"
GO:0051895,"negative regulation of focal adhesion assembly",0.066%,-1.3851,0.772,0.468,"regulation of receptor-mediated endocytosis"
GO:0010763,"positive regulation of fibroblast migration",0.057%,-1.7479,0.758,0.293,"regulation of receptor-mediated endocytosis"
GO:0016482,"cytosolic transport",0.617%,-1.3103,0.885,0.489,"regulation of receptor-mediated endocytosis"
GO:2000586,"regulation of platelet-derived growth factor receptor-beta signaling pathway",0.024%,-1.5738,0.854,0.082,"regulation of platelet-derived growth factor receptor-beta signaling pathway"
GO:2000050,"regulation of non-canonical Wnt signaling pathway",0.114%,-1.4879,0.832,0.266,"regulation of platelet-derived growth factor receptor-beta signaling pathway"
GO:0040037,"negative regulation of fibroblast growth factor receptor signaling pathway",0.076%,-1.4507,0.772,0.457,"regulation of platelet-derived growth factor receptor-beta signaling pathway"
GO:0001881,"receptor recycling",0.171%,-1.5738,0.876,0.238,"regulation of platelet-derived growth factor receptor-beta signaling pathway"
