term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0045600,"positive regulation of fat cell differentiation",0.266%, 6.172,-4.103,1.756,-2.1866,0.730,0.588,45600,0
GO:0050873,"brown fat cell differentiation",0.214%,null,null,1.663,-1.6675,0.811,0.744,45600,1
GO:0045598,"regulation of fat cell differentiation",0.579%,null,null,2.090,-1.6772,0.760,0.811,45600,1
GO:0071732,"cellular response to nitric oxide",0.071%,-2.246,-6.808,1.204,-1.6102,0.860,0.606,71732,0
GO:0085029,"extracellular matrix assembly",0.142%, 1.698, 6.678,1.491,-1.3144,0.861,0.622,85029,0
GO:0007417,"central nervous system development",4.359%, 7.486,-0.072,2.963,-1.5253,0.777,0.627,7417,0
GO:0090257,"regulation of muscle system process",0.897%, 6.193, 3.657,2.279,-1.5597,0.813,0.634,90257,0
GO:0071731,"response to nitric oxide",0.090%,-2.627,-6.778,1.301,-1.4739,0.896,0.642,71731,0
GO:0021515,"cell differentiation in spinal cord",0.261%, 7.876,-1.313,1.748,-1.6675,0.774,0.643,21515,0
GO:0042759,"long-chain fatty acid biosynthetic process",0.047%,-2.774, 5.186,1.041,-1.5597,0.792,0.646,42759,0
GO:0009650,"UV protection",0.047%,-4.837, 0.138,1.041,-1.5146,0.923,0.648,9650,0
GO:0044273,"sulfur compound catabolic process",0.119%,-5.876, 2.045,1.415,-2.2784,0.890,0.650,44273,0
GO:0007409,"axonogenesis",1.947%, 6.461, 0.139,2.614,-1.4952,0.694,0.651,7409,0
GO:0061564,"axon development",2.104%,null,null,2.647,-1.4629,0.700,0.793,7409,1
GO:0048667,"cell morphogenesis involved in neuron differentiation",2.498%,null,null,2.722,-1.4381,0.690,0.877,7409,1
GO:0098911,"regulation of ventricular cardiac muscle cell action potential",0.062%, 4.811, 2.044,1.146,-1.4739,0.719,0.668,98911,0
GO:1901077,"regulation of relaxation of muscle",0.066%, 5.872, 4.309,1.176,-1.6675,0.839,0.672,1901077,0
GO:0030497,"fatty acid elongation",0.062%,-3.231, 4.947,1.146,-1.4367,0.789,0.672,30497,0
GO:0010224,"response to UV-B",0.076%,-5.581,-0.129,1.230,-1.4026,0.922,0.678,10224,0
GO:0021795,"cerebral cortex cell migration",0.252%, 6.863,-1.436,1.732,-1.7338,0.722,0.682,21795,0
GO:0042761,"very long-chain fatty acid biosynthetic process",0.062%,-2.987, 5.015,1.146,-1.4026,0.789,0.684,42761,0
GO:0050872,"white fat cell differentiation",0.076%, 7.994,-3.446,1.230,-1.7338,0.823,0.686,50872,0
GO:0021510,"spinal cord development",0.494%, 7.947,-0.563,2.021,-1.4739,0.804,0.690,21510,0
GO:1903504,"regulation of mitotic spindle checkpoint",0.066%, 1.360, 0.996,1.176,-1.7338,0.730,0.698,1903504,0
GO:0010971,"positive regulation of G2/M transition of mitotic cell cycle",0.085%,null,null,1.279,-1.3144,0.780,0.719,1903504,1
GO:0044772,"mitotic cell cycle phase transition",1.515%,null,null,2.505,-1.5052,0.811,0.703,1903504,1
GO:0051988,"regulation of attachment of spindle microtubules to kinetochore",0.057%,null,null,1.114,-1.5146,0.818,0.741,1903504,1
GO:0051984,"positive regulation of chromosome segregation",0.100%,null,null,1.342,-1.4739,0.808,0.770,1903504,1
GO:0090266,"regulation of mitotic cell cycle spindle assembly checkpoint",0.066%,null,null,1.176,-1.3711,0.730,0.973,1903504,1
