% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,uniqueness,dispensability,representative
GO:0046942,"carboxylic acid transport",1.201%,0.841,0.408,"protein localization to cell surface"
GO:0008643,"carbohydrate transport",0.708%,0.860,0.301,"protein localization to cell surface"
GO:0015791,"polyol transport",0.043%,0.872,0.140,"protein localization to cell surface"
GO:0010884,"positive regulation of lipid storage",0.104%,0.791,0.281,"protein localization to cell surface"
GO:2000425,"regulation of apoptotic cell clearance",0.043%,0.790,0.483,"protein localization to cell surface"
GO:0045837,"negative regulation of membrane potential",0.052%,0.924,0.000,"negative regulation of membrane potential"
GO:0032364,"oxygen homeostasis",0.024%,0.921,0.352,"negative regulation of membrane potential"
GO:0033483,"gas homeostasis",0.033%,0.920,0.201,"negative regulation of membrane potential"
GO:0032471,"negative regulation of endoplasmic reticulum calcium ion concentration",0.038%,0.881,0.363,"negative regulation of membrane potential"
GO:0043029,"T cell homeostasis",0.218%,0.899,0.336,"negative regulation of membrane potential"
GO:0003091,"renal water homeostasis",0.057%,0.854,0.375,"negative regulation of membrane potential"
GO:0060359,"response to ammonium ion",0.527%,0.941,0.000,"response to ammonium ion"
GO:0071248,"cellular response to metal ion",0.655%,0.918,0.229,"response to ammonium ion"
GO:0042060,"wound healing",1.833%,0.929,0.106,"response to ammonium ion"
GO:0071560,"cellular response to transforming growth factor beta stimulus",0.926%,0.908,0.396,"response to ammonium ion"
GO:0033762,"response to glucagon",0.085%,0.936,0.494,"response to ammonium ion"
GO:0090136,"epithelial cell-cell adhesion",0.071%,0.943,0.000,"epithelial cell-cell adhesion"
GO:0033629,"negative regulation of cell adhesion mediated by integrin",0.028%,0.908,0.329,"epithelial cell-cell adhesion"
GO:0031507,"heterochromatin assembly",0.057%,0.916,0.010,"heterochromatin assembly"
GO:0071822,"protein complex subunit organization",5.803%,0.907,0.398,"heterochromatin assembly"
GO:0002934,"desmosome organization",0.047%,0.886,0.125,"heterochromatin assembly"
GO:0072386,"plus-end-directed organelle transport along microtubule",0.024%,0.833,0.406,"heterochromatin assembly"
GO:0030198,"extracellular matrix organization",1.030%,0.866,0.157,"heterochromatin assembly"
GO:0032438,"melanosome organization",0.085%,0.890,0.228,"heterochromatin assembly"
GO:1901098,"positive regulation of autophagosome maturation",0.024%,0.819,0.209,"heterochromatin assembly"
GO:1990000,"amyloid fibril formation",0.033%,0.835,0.433,"heterochromatin assembly"
GO:0051418,"microtubule nucleation by microtubule organizing center",0.028%,0.862,0.318,"heterochromatin assembly"
GO:0097581,"lamellipodium organization",0.356%,0.877,0.453,"heterochromatin assembly"
GO:0030032,"lamellipodium assembly",0.275%,0.855,0.289,"heterochromatin assembly"
GO:0000281,"mitotic cytokinesis",0.185%,0.905,0.021,"mitotic cytokinesis"
GO:0031659,"positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle",0.038%,0.770,0.462,"mitotic cytokinesis"
GO:0090073,"positive regulation of protein homodimerization activity",0.038%,0.924,0.031,"positive regulation of protein homodimerization activity"
GO:0051091,"positive regulation of sequence-specific DNA binding transcription factor activity",0.992%,0.786,0.379,"positive regulation of protein homodimerization activity"
GO:0034199,"activation of protein kinase A activity",0.009%,0.816,0.276,"positive regulation of protein homodimerization activity"
GO:0048145,"regulation of fibroblast proliferation",0.418%,0.883,0.036,"regulation of fibroblast proliferation"
GO:2000178,"negative regulation of neural precursor cell proliferation",0.114%,0.878,0.398,"regulation of fibroblast proliferation"
GO:0010837,"regulation of keratinocyte proliferation",0.147%,0.876,0.406,"regulation of fibroblast proliferation"
GO:1900118,"negative regulation of execution phase of apoptosis",0.043%,0.887,0.056,"negative regulation of execution phase of apoptosis"
GO:0006072,"glycerol-3-phosphate metabolic process",0.043%,0.891,0.059,"glycerol-3-phosphate metabolism"
GO:0046434,"organophosphate catabolic process",0.541%,0.865,0.456,"glycerol-3-phosphate metabolism"
GO:0006734,"NADH metabolic process",0.081%,0.811,0.479,"glycerol-3-phosphate metabolism"
GO:0007185,"transmembrane receptor protein tyrosine phosphatase signaling pathway",0.005%,0.899,0.065,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:0090037,"positive regulation of protein kinase C signaling",0.038%,0.823,0.288,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:0016055,"Wnt signaling pathway",1.847%,0.816,0.274,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:0019935,"cyclic-nucleotide-mediated signaling",0.280%,0.874,0.109,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:0043568,"positive regulation of insulin-like growth factor receptor signaling pathway",0.052%,0.819,0.352,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:1902043,"positive regulation of extrinsic apoptotic signaling pathway via death domain receptors",0.085%,0.793,0.355,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:1902531,"regulation of intracellular signal transduction",7.204%,0.809,0.481,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:0042770,"signal transduction in response to DNA damage",0.370%,0.855,0.345,"transmembrane receptor protein tyrosine phosphatase signaling pathway"
GO:0046189,"phenol-containing compound biosynthetic process",0.209%,0.898,0.066,"phenol-containing compound biosynthesis"
GO:0019216,"regulation of lipid metabolic process",1.349%,0.833,0.245,"phenol-containing compound biosynthesis"
GO:0006705,"mineralocorticoid biosynthetic process",0.043%,0.811,0.451,"phenol-containing compound biosynthesis"
GO:0042181,"ketone biosynthetic process",0.185%,0.828,0.401,"phenol-containing compound biosynthesis"
GO:0006570,"tyrosine metabolic process",0.052%,0.849,0.191,"phenol-containing compound biosynthesis"
GO:0046184,"aldehyde biosynthetic process",0.071%,0.852,0.149,"phenol-containing compound biosynthesis"
GO:0045073,"regulation of chemokine biosynthetic process",0.057%,0.806,0.147,"phenol-containing compound biosynthesis"
GO:0042363,"fat-soluble vitamin catabolic process",0.038%,0.849,0.294,"phenol-containing compound biosynthesis"
GO:0002709,"regulation of T cell mediated immunity",0.266%,0.878,0.088,"regulation of T cell mediated immunity"
GO:0048536,"spleen development",0.214%,0.854,0.323,"regulation of T cell mediated immunity"
GO:0048387,"negative regulation of retinoic acid receptor signaling pathway",0.038%,0.860,0.226,"regulation of T cell mediated immunity"
GO:0060340,"positive regulation of type I interferon-mediated signaling pathway",0.052%,0.786,0.480,"regulation of T cell mediated immunity"
