geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:1905330	regulation of morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:1905330	105	6	0.5898140057421046	10.172698412698413	2.735228297079395e-5	0.002789932863020983	14178;20319;20583;20682;22418;68588	geneontology_Biological_Process_noRedundant	Sfrp2;Wnt5a;Cthrc1;Snai2;Fgf7;Sox9
GO:0008544	epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	295	9	1.6570964923230558	5.431186440677966	4.1217952943095604e-5	0.003853878600179439	14178;16667;18426;20682;22418;29820;55948;70810;110805	geneontology_Biological_Process_noRedundant	Sfn;Wnt5a;Krt17;Ovol1;Fgf7;Sox9;Tnfrsf19;Krt25;Foxe1
mmu04115	p53 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04115+12442+20135+268697+55948+58801	71	5	0.398826613406566	12.53677621283255	4.860748343848975e-5	0.004195199724460423	12442;20135;268697;55948;58801	pathway_KEGG	Sfn;Rrm2;Ccnb2;Ccnb1;Pmaip1
GO:0007517	muscle organ development	http://amigo.geneontology.org/amigo/term/GO:0007517	380	10	2.1345649731619023	4.684795321637427	5.295418869666335e-5	0.0042438999798325916	11435;12818;17681;17700;17928;20289;20666;22418;215031;268697	geneontology_Biological_Process_noRedundant	Msc;Scx;Mstn;Chrna1;Wnt5a;Vgll2;Col14a1;Ccnb1;Myog;Sox11
GO:0050900	leukocyte migration	http://amigo.geneontology.org/amigo/term/GO:0050900	315	9	1.769442017226314	5.086349206349206	6.842761313541335e-5	0.004814593025518871	12061;14825;17329;17700;20085;20296;20306;22121;22418	geneontology_Biological_Process_noRedundant	Ccl2;Ccl7;Mstn;Wnt5a;Bdkrb1;Cxcl1;Rps19;Cxcl9;Rpl13a
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	392	10	2.2019722881038573	4.541383219954648	6.865729804661491e-5	0.004814593025518871	14178;20296;20319;20583;20666;20682;22418;55948;97165;217166	geneontology_Biological_Process_noRedundant	Nr1d1;Sfn;Sfrp2;Ccl2;Wnt5a;Snai2;Fgf7;Sox9;Sox11;Hmgb2
GO:0060021	roof of mouth development	http://amigo.geneontology.org/amigo/term/GO:0060021	91	5	0.511172138309824	9.78144078144078	1.5897255234920138e-4	0.010492188455047291	17681;20583;20666;22418;110805	geneontology_Biological_Process_noRedundant	Msc;Wnt5a;Snai2;Sox11;Foxe1
GO:0002237	response to molecule of bacterial origin	http://amigo.geneontology.org/amigo/term/GO:0002237	355	9	1.9941330670328299	4.513239436619719	1.693671891688231e-4	0.010557221458189974	12061;14619;14825;17329;20296;22121;22418;97165;217166	geneontology_Biological_Process_noRedundant	Nr1d1;Ccl2;Wnt5a;Bdkrb1;Cxcl1;Gjb2;Cxcl9;Rpl13a;Hmgb2
GO:0007548	sex differentiation	http://amigo.geneontology.org/amigo/term/GO:0007548	287	8	1.6121582823617526	4.962291908633372	2.0914278663553e-4	0.01235043192658235	14178;20289;20319;20682;20969;22418;51800;97165	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Sdc1;Wnt5a;Bok;Fgf7;Sox9;Hmgb2
GO:0071772	response to BMP	http://amigo.geneontology.org/amigo/term/GO:0071772	160	6	0.8987641992260642	6.675833333333333	2.8154439319372226e-4	0.01579464045816782	20289;20319;20666;20682;22418;69121	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Wnt5a;Chrdl2;Sox9;Sox11
GO:0009611	response to wounding	http://amigo.geneontology.org/amigo/term/GO:0009611	488	10	2.741230807639496	3.64799635701275	4.047870689072308e-4	0.02162719482447205	14178;16852;17242;17700;20296;20583;20969;21857;22418;268697	geneontology_Biological_Process_noRedundant	Ccl2;Mstn;Sdc1;Wnt5a;Mdk;Timp1;Snai2;Lgals1;Fgf7;Ccnb1
GO:0033687	osteoblast proliferation	http://amigo.geneontology.org/amigo/term/GO:0033687	29	3	0.16290101110972413	18.41609195402299	5.634518638868435e-4	0.02873604505822902	68588;74511;231633	geneontology_Biological_Process_noRedundant	Lrrc17;Tmem119;Cthrc1
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	343	8	1.9267257520908752	4.1521218011013925	6.857502380281932e-4	0.033452685524679684	12442;17928;18426;22418;68612;108907;267019;268697	geneontology_Biological_Process_noRedundant	Ube2c;Wnt5a;Ccnb2;Ovol1;Ccnb1;Rps15a;Nusap1;Myog
GO:2000027	regulation of animal organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:2000027	192	6	1.078517039071277	5.563194444444444	7.403978404634248e-4	0.03461359904166511	14178;20319;20583;20682;22418;68588	geneontology_Biological_Process_noRedundant	Sfrp2;Wnt5a;Cthrc1;Snai2;Fgf7;Sox9
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	442	9	2.4828361003620025	3.624886877828054	8.353285366073937e-4	0.03748954472293983	12442;16319;22418;54392;68612;70012;108907;110033;268697	geneontology_Biological_Process_noRedundant	Cep85;Ube2c;Wnt5a;Ncapg;Ccnb2;Kif22;Ccnb1;Nusap1;Incenp
mmu04915	Estrogen signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04915+16664+16665+16667+70810+70843	133	5	0.7470977406066659	6.692564745196323	9.135521968032245e-4	0.03912949898270525	16664;16665;16667;70810;70843	pathway_KEGG	Krt28;Krt17;Krt15;Krt14;Krt25
GO:0032103	positive regulation of response to external stimulus	http://amigo.geneontology.org/amigo/term/GO:0032103	277	7	1.5559855199101236	4.498756518251103	9.416189594768642e-4	0.03912949898270525	14825;17700;20085;20296;20306;20583;22418	geneontology_Biological_Process_noRedundant	Ccl2;Ccl7;Mstn;Wnt5a;Cxcl1;Rps19;Snai2
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	279	7	1.5672200724004495	4.466507367582636	9.81900952774839e-4	0.03924731822696938	12406;12818;20289;20319;20682;20969;76293	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Sdc1;Col14a1;Mfap4;Sox9;Serpinh1
GO:0071103	DNA conformation change	http://amigo.geneontology.org/amigo/term/GO:0071103	204	6	1.1459243540132318	5.235947712418301	0.001014413750964449	0.03924731822696938	12615;20682;54392;97165;108907;268697	geneontology_Biological_Process_noRedundant	Ncapg;Sox9;Ccnb1;Cenpa;Nusap1;Hmgb2
GO:0071559	response to transforming growth factor beta	http://amigo.geneontology.org/amigo/term/GO:0071559	211	6	1.1852452877293722	5.062243285939968	0.0012068369806167434	0.04414733174587891	17700;20289;20296;20666;20682;22418	geneontology_Biological_Process_noRedundant	Scx;Ccl2;Mstn;Wnt5a;Sox9;Sox11
GO:0002181	cytoplasmic translation	http://amigo.geneontology.org/amigo/term/GO:0002181	83	4	0.4662339283485208	8.57938420348059	0.001219756937720362	0.04414733174587891	22121;66475;67025;76808	geneontology_Biological_Process_noRedundant	Rpl18a;Rps23;Rpl11;Rpl13a
GO:0055123	digestive system development	http://amigo.geneontology.org/amigo/term/GO:0055123	144	5	0.8088877793034578	6.181327160493827	0.0013028633920280086	0.04493447899074687	20319;20666;22418;110805;268697	geneontology_Biological_Process_noRedundant	Sfrp2;Wnt5a;Ccnb1;Sox11;Foxe1
GO:1990868	response to chemokine	http://amigo.geneontology.org/amigo/term/GO:1990868	85	4	0.47746848083884663	8.377516339869281	0.0013325953121094969	0.04493447899074687	14825;17329;20296;20306	geneontology_Biological_Process_noRedundant	Ccl2;Ccl7;Cxcl1;Cxcl9
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	474	9	2.662588940207215	3.380168776371308	0.001361650878507481	0.04493447899074687	14178;14619;20289;20319;20682;20969;22418;51800;97165	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Sdc1;Wnt5a;Bok;Gjb2;Fgf7;Sox9;Hmgb2
GO:0048872	homeostasis of number of cells	http://amigo.geneontology.org/amigo/term/GO:0048872	297	7	1.6683310448133817	4.195809951365507	0.001408945925377214	0.04516678080780669	12442;12818;20085;20296;20682;58801;97165	geneontology_Biological_Process_noRedundant	Ccl2;Col14a1;Ccnb2;Rps19;Sox9;Pmaip1;Hmgb2
GO:0032963	collagen metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032963	89	4	0.4999375858194982	8.00099875156055	0.0015798117037496562	0.04923746476686429	12406;20289;20296;76293	geneontology_Biological_Process_noRedundant	Scx;Ccl2;Mfap4;Serpinh1
