cluster	gene	symbol
1	ENSMUSG00000059060	Rad51b
1	ENSMUSG00000059775	Rps26-ps1
1	ENSMUSG00000059824	Dbp
1	ENSMUSG00000059898	Dsc3
1	ENSMUSG00000061048	Cdh3
1	ENSMUSG00000061477	Rps7
1	ENSMUSG00000062997	Rpl35
1	ENSMUSG00000063632	Sox11
1	ENSMUSG00000064294	Aox3
1	ENSMUSG00000067006	Serpinb5
1	ENSMUSG00000067038	Rps12-ps3
1	ENSMUSG00000067288	Rps28
1	ENSMUSG00000068614	Actc1
1	ENSMUSG00000069272	Hist1h2ae
1	ENSMUSG00000069441	Dsg1a
1	ENSMUSG00000070436	Serpinh1
1	ENSMUSG00000070691	Runx3
1	ENSMUSG00000070990	Foxe1
1	ENSMUSG00000071415	Rpl23
1	ENSMUSG00000071537	Klrg2
1	ENSMUSG00000073403	Gm10499
1	ENSMUSG00000073565	Prr16
1	ENSMUSG00000074129	Rpl13a
1	ENSMUSG00000074476	Spc24
1	ENSMUSG00000076498	Trbc2
1	ENSMUSG00000078886	Gm2026
1	ENSMUSG00000079598	Clec2l
1	ENSMUSG00000081683	Fzd10
1	ENSMUSG00000084897	Gm14226
1	ENSMUSG00000094777	Hist1h2ap
2	ENSMUSG00000000308	Ckmt1
2	ENSMUSG00000000861	Bcl11a
2	ENSMUSG00000001131	Timp1
2	ENSMUSG00000001504	Irx2
2	ENSMUSG00000001655	Hoxc13
2	ENSMUSG00000002769	Gnmt
2	ENSMUSG00000003644	Rps6ka1
2	ENSMUSG00000004552	Ctse
2	ENSMUSG00000005251	Ripk4
2	ENSMUSG00000005583	Mef2c
2	ENSMUSG00000005628	Tmod4
2	ENSMUSG00000006345	Ggt1
2	ENSMUSG00000006411	Pvrl4
2	ENSMUSG00000009214	Tmem8c
2	ENSMUSG00000009927	Rps25
2	ENSMUSG00000010080	Epn3
2	ENSMUSG00000010086	Rnf112
2	ENSMUSG00000015619	Gata3
2	ENSMUSG00000018893	Mb
2	ENSMUSG00000019808	Adat2
2	ENSMUSG00000021118	Plek2
2	ENSMUSG00000021214	Akr1c18
2	ENSMUSG00000021367	Edn1
2	ENSMUSG00000021643	Serf1
2	ENSMUSG00000021994	Wnt5a
2	ENSMUSG00000022221	Ripk3
2	ENSMUSG00000022286	Grhl2
2	ENSMUSG00000022371	Col14a1
2	ENSMUSG00000022479	Vdr
2	ENSMUSG00000022523	Fgf12
2	ENSMUSG00000022676	Snai2
2	ENSMUSG00000023013	Aqp2
2	ENSMUSG00000023391	Dlx2
2	ENSMUSG00000023868	Pde10a
2	ENSMUSG00000024084	Qpct
2	ENSMUSG00000024471	Myot
2	ENSMUSG00000024526	Cidea
2	ENSMUSG00000024678	Ms4a4d
2	ENSMUSG00000024873	Cnih2
2	ENSMUSG00000024922	Ovol1
2	ENSMUSG00000024989	Cep55
2	ENSMUSG00000025064	Col17a1
2	ENSMUSG00000025105	Bnc1
2	ENSMUSG00000025150	Cbr2
2	ENSMUSG00000025488	Cox8b
2	ENSMUSG00000025665	Rps6ka6
2	ENSMUSG00000025991	Cps1
2	ENSMUSG00000026018	Ica1l
2	ENSMUSG00000026100	Mstn
2	ENSMUSG00000026579	F5
2	ENSMUSG00000026971	Itgb6
2	ENSMUSG00000027015	Cybrd1
2	ENSMUSG00000027016	Zfp385b
2	ENSMUSG00000027068	Dhrs9
2	ENSMUSG00000027360	Hdc
2	ENSMUSG00000027636	Sla2
2	ENSMUSG00000027869	Hsd3b6
2	ENSMUSG00000027985	Lef1
2	ENSMUSG00000028238	Atp6v0d2
2	ENSMUSG00000028348	Murc
2	ENSMUSG00000028825	Rhd
2	ENSMUSG00000028860	Sytl1
2	ENSMUSG00000028871	Rspo1
2	ENSMUSG00000028976	Slc2a5
2	ENSMUSG00000029026	Trp73
2	ENSMUSG00000029061	Mmp23
2	ENSMUSG00000029570	Lfng
2	ENSMUSG00000030510	Cers3
2	ENSMUSG00000030659	Nucb2
2	ENSMUSG00000030672	Mylpf
2	ENSMUSG00000030707	Coro1a
2	ENSMUSG00000030785	Cox6a2
2	ENSMUSG00000031103	Elf4
2	ENSMUSG00000031409	Tceal6
2	ENSMUSG00000031891	Hsd11b2
2	ENSMUSG00000031907	Zfp90
2	ENSMUSG00000032013	Trim29
2	ENSMUSG00000032017	Grik4
2	ENSMUSG00000032068	Plet1
2	ENSMUSG00000032262	Elovl4
2	ENSMUSG00000032278	Paqr5
2	ENSMUSG00000032845	Alpk2
2	ENSMUSG00000034161	Scx
2	ENSMUSG00000034226	Rhov
2	ENSMUSG00000034634	Ly6d
2	ENSMUSG00000034845	Plvap
2	ENSMUSG00000035498	Cdcp1
2	ENSMUSG00000036655	Colec11
2	ENSMUSG00000037188	Grhl3
2	ENSMUSG00000037610	Kcnmb2
2	ENSMUSG00000037995	Igsf9
2	ENSMUSG00000038233	Fam198a
2	ENSMUSG00000038745	Nlrp6
2	ENSMUSG00000039055	Eme1
2	ENSMUSG00000039298	Cdk5rap2
2	ENSMUSG00000039452	Snx22
2	ENSMUSG00000039787	Cercam
2	ENSMUSG00000039813	Tbc1d2
2	ENSMUSG00000040703	Cyp2s1
2	ENSMUSG00000041012	Cmtm8
2	ENSMUSG00000041261	Car8
2	ENSMUSG00000041476	Smpx
2	ENSMUSG00000041782	Lad1
2	ENSMUSG00000041845	Rhod
2	ENSMUSG00000042306	S100a14
2	ENSMUSG00000042340	Ctf1
2	ENSMUSG00000042988	Notum
2	ENSMUSG00000043557	Mdga1
2	ENSMUSG00000045128	Rpl18a
2	ENSMUSG00000045349	Sh2d5
2	ENSMUSG00000045545	Krt14
2	ENSMUSG00000045763	Basp1
2	ENSMUSG00000047281	Sfn
2	ENSMUSG00000049404	Rarres1
2	ENSMUSG00000049685	Cyp2g1
2	ENSMUSG00000050359	Sprr1a
2	ENSMUSG00000050558	Prokr2
2	ENSMUSG00000052909	Gm9894
2	ENSMUSG00000054065	Pkp3
2	ENSMUSG00000054146	Krt15
2	ENSMUSG00000054196	Cthrc1
2	ENSMUSG00000054662	Ano9
2	ENSMUSG00000054675	Tmem119
2	ENSMUSG00000055415	Atp10b
2	ENSMUSG00000056222	Spock1
2	ENSMUSG00000056328	Myh1
2	ENSMUSG00000056888	Glipr1
2	ENSMUSG00000057948	Unc13d
2	ENSMUSG00000058427	Cxcl2
2	ENSMUSG00000059326	Csf2ra
2	ENSMUSG00000060548	Tnfrsf19
2	ENSMUSG00000060572	Mfap2
2	ENSMUSG00000060962	Dmkn
2	ENSMUSG00000061527	Krt5
2	ENSMUSG00000061816	Myl1
2	ENSMUSG00000063661	Krt73
2	ENSMUSG00000063727	Tnfrsf11b
2	ENSMUSG00000066438	Plekhd1
2	ENSMUSG00000066704	Cyp2b19
2	ENSMUSG00000067219	Nipal1
2	ENSMUSG00000067916	Gm13139
2	ENSMUSG00000068617	Efcab1
2	ENSMUSG00000071019	Sdr16c6
2	ENSMUSG00000071341	Egr4
2	ENSMUSG00000075296	Aldh3b2
2	ENSMUSG00000075307	Klhl41
2	ENSMUSG00000079588	Tmem182
2	ENSMUSG00000089960	Ugt1a1
2	ENSMUSG00000090451	Gm6133
2	ENSMUSG00000090733	Rps27
2	ENSMUSG00000092586	Ly6g6c
3	ENSMUSG00000003824	Syce2
3	ENSMUSG00000005089	Slc1a2
3	ENSMUSG00000008683	Rps15a
3	ENSMUSG00000009185	Ccl8
3	ENSMUSG00000014303	Glis2
3	ENSMUSG00000015112	Slc25a13
3	ENSMUSG00000015377	Dennd6b
3	ENSMUSG00000017716	Birc5
3	ENSMUSG00000019848	Popdc3
3	ENSMUSG00000019936	Epyc
3	ENSMUSG00000020061	Mybpc1
3	ENSMUSG00000020090	Npffr1
3	ENSMUSG00000020140	Lgr5
3	ENSMUSG00000020218	Wif1
3	ENSMUSG00000020592	Sdc1
3	ENSMUSG00000020701	Tmem132e
3	ENSMUSG00000020897	Aurkb
3	ENSMUSG00000020914	Top2a
3	ENSMUSG00000020953	Coch
3	ENSMUSG00000021416	Eci3
3	ENSMUSG00000022015	Tnfsf11
3	ENSMUSG00000022986	Krt75
3	ENSMUSG00000023232	Serinc2
3	ENSMUSG00000023505	Cdca3
3	ENSMUSG00000024177	Nme4
3	ENSMUSG00000024378	Stard4
3	ENSMUSG00000024521	Pmaip1
3	ENSMUSG00000025216	Lbx1
3	ENSMUSG00000025328	Padi3
3	ENSMUSG00000025362	Rps26
3	ENSMUSG00000025429	Pstpip2
3	ENSMUSG00000025927	Tfap2b
3	ENSMUSG00000025930	Msc
3	ENSMUSG00000026039	Sgol2
3	ENSMUSG00000026141	Col19a1
3	ENSMUSG00000026343	Gpr39
3	ENSMUSG00000026413	Pkp1
3	ENSMUSG00000026669	Mcm10
3	ENSMUSG00000026955	Sapcd2
3	ENSMUSG00000026959	Grin1
3	ENSMUSG00000027107	Chrna1
3	ENSMUSG00000027220	Syt13
3	ENSMUSG00000027306	Nusap1
3	ENSMUSG00000027469	Tpx2
3	ENSMUSG00000027849	Syt6
3	ENSMUSG00000027962	Vcam1
3	ENSMUSG00000028018	Gstcd
3	ENSMUSG00000028031	Dkk2
3	ENSMUSG00000028234	Rps20
3	ENSMUSG00000028347	Tmeff1
3	ENSMUSG00000028545	Bend5
3	ENSMUSG00000028678	Kif2c
3	ENSMUSG00000028873	Cdca8
3	ENSMUSG00000028936	Rpl22
3	ENSMUSG00000029153	Ociad2
3	ENSMUSG00000029337	Fgf5
3	ENSMUSG00000029380	Cxcl1
3	ENSMUSG00000029683	Lmod2
3	ENSMUSG00000029735	Tpk1
3	ENSMUSG00000030433	Sbk2
3	ENSMUSG00000030814	Bcl7c
3	ENSMUSG00000030827	Fgf21
3	ENSMUSG00000030867	Plk1
3	ENSMUSG00000031554	Adam5
3	ENSMUSG00000031962	Cdh15
3	ENSMUSG00000032218	Ccnb2
3	ENSMUSG00000032291	Crabp1
3	ENSMUSG00000033419	Snap91
3	ENSMUSG00000033458	Fan1
3	ENSMUSG00000034855	Cxcl10
3	ENSMUSG00000036777	Anln
3	ENSMUSG00000037318	Traf3ip3
3	ENSMUSG00000037725	Ckap2
3	ENSMUSG00000038155	Gstp2
3	ENSMUSG00000038193	Hand2
3	ENSMUSG00000038560	Sp6
3	ENSMUSG00000039481	Nrtn
3	ENSMUSG00000039883	Lrrc17
3	ENSMUSG00000040564	Apoc1
3	ENSMUSG00000041220	Elovl6
3	ENSMUSG00000041954	Tnfrsf18
3	ENSMUSG00000042045	Sln
3	ENSMUSG00000043165	Lor
3	ENSMUSG00000043531	Sorcs1
3	ENSMUSG00000044393	Dsg2
3	ENSMUSG00000044927	H1fx
3	ENSMUSG00000045007	Tubg2
3	ENSMUSG00000045273	Cenph
3	ENSMUSG00000045328	Cenpe
3	ENSMUSG00000046593	Tmem215
3	ENSMUSG00000047343	Mettl21c
3	ENSMUSG00000047786	Lix1
3	ENSMUSG00000047875	Gpr157
3	ENSMUSG00000048327	Ckap2l
3	ENSMUSG00000048922	Cdca2
3	ENSMUSG00000049134	Nrap
3	ENSMUSG00000049641	Vgll2
3	ENSMUSG00000049882	Vcpkmt
3	ENSMUSG00000051920	Rspo2
3	ENSMUSG00000052316	Lrrc15
3	ENSMUSG00000052369	Tmem106c
3	ENSMUSG00000058447	Gm26920
3	ENSMUSG00000058503	Fam133b
3	ENSMUSG00000059291	Rpl11
3	ENSMUSG00000060636	Rpl35a
3	ENSMUSG00000060913	Trim55
3	ENSMUSG00000062248	Cks2
3	ENSMUSG00000063903	Klk1
3	ENSMUSG00000068101	Cenpm
3	ENSMUSG00000068220	Lgals1
3	ENSMUSG00000068252	Apol7b
3	ENSMUSG00000070564	Ntn5
3	ENSMUSG00000073234	Gm8773
3	ENSMUSG00000079278	Tmem233
3	ENSMUSG00000079523	Tmsb10
3	ENSMUSG00000079641	Rpl39
3	ENSMUSG00000094005	Gm12625
3	ENSMUSG00000095432	Zfp748
3	ENSMUSG00000095680	Gm12627
3	ENSMUSG00000096363	Gm12621
3	ENSMUSG00000097808	Gstp2
3	ENSMUSG00000102422	SCHIP1
4	ENSMUSG00000001151	Pcnt
4	ENSMUSG00000002289	Angptl4
4	ENSMUSG00000005952	Trpv1
4	ENSMUSG00000006342	Susd2
4	ENSMUSG00000011008	Mcoln2
4	ENSMUSG00000018698	Lhx1
4	ENSMUSG00000019907	Ppp1r12a
4	ENSMUSG00000019966	Kitl
4	ENSMUSG00000020930	Ccdc103
4	ENSMUSG00000022324	Matn2
4	ENSMUSG00000022997	Wnt1
4	ENSMUSG00000024112	Cacna1h
4	ENSMUSG00000024827	Gldc
4	ENSMUSG00000028337	Coro2a
4	ENSMUSG00000028373	Astn2
4	ENSMUSG00000029314	Agpat9
4	ENSMUSG00000030507	Dbx1
4	ENSMUSG00000031273	Col4a6
4	ENSMUSG00000031297	Slc7a3
4	ENSMUSG00000032528	Vipr1
4	ENSMUSG00000032850	Rnft2
4	ENSMUSG00000033083	Tbc1d4
4	ENSMUSG00000033182	Kbtbd12
4	ENSMUSG00000033276	Stk36
4	ENSMUSG00000034310	Tmem132d
4	ENSMUSG00000037820	Tgm2
4	ENSMUSG00000037827	Gm5884
4	ENSMUSG00000038244	Mical2
4	ENSMUSG00000040260	Daam2
4	ENSMUSG00000040323	Gm15429
4	ENSMUSG00000040612	Ildr2
4	ENSMUSG00000041975	Mettl8
4	ENSMUSG00000043456	Zfp536
4	ENSMUSG00000043463	Rab9b
4	ENSMUSG00000043670	Diras1
4	ENSMUSG00000043719	Col6a6
4	ENSMUSG00000044285	Gm1821
4	ENSMUSG00000046634	Pkd1l1
4	ENSMUSG00000047953	Gp5
4	ENSMUSG00000049699	Ucn2
4	ENSMUSG00000052296	Ppp6r1
4	ENSMUSG00000053965	Pde5a
4	ENSMUSG00000058922	Gm10052
4	ENSMUSG00000061322	Dnaic1
4	ENSMUSG00000066687	Zbtb16
4	ENSMUSG00000067878	Mtap7d3
4	ENSMUSG00000068747	Sort1
4	ENSMUSG00000069014	Gm5641
4	ENSMUSG00000069515	Lyz1
4	ENSMUSG00000071661	Zbtb3
4	ENSMUSG00000079038	D130040H23Rik
4	ENSMUSG00000079243	Xirp1
4	ENSMUSG00000080268	Brms1
4	ENSMUSG00000081406	Rps6-ps4
4	ENSMUSG00000082361	Btc
4	ENSMUSG00000083405	Gm15725
4	ENSMUSG00000090958	Lrrc32
4	ENSMUSG00000096795	Zfp433
4	ENSMUSG00000101645	Gm28635
4	ENSMUSG00000102440	PCDHGA9
4	ENSMUSG00000103034	UBC
5	ENSMUSG00000001150	Mcm3ap
5	ENSMUSG00000002020	Ltbp2
5	ENSMUSG00000002343	Armc6
5	ENSMUSG00000002831	Plin4
5	ENSMUSG00000003226	Ranbp2
5	ENSMUSG00000003660	Snrnp200
5	ENSMUSG00000004698	Hdac9
5	ENSMUSG00000004892	Bcan
5	ENSMUSG00000005611	Mrvi1
5	ENSMUSG00000005871	Apc
5	ENSMUSG00000006576	Slc4a3
5	ENSMUSG00000010122	Slc47a1
5	ENSMUSG00000012519	Mlkl
5	ENSMUSG00000017631	Abr
5	ENSMUSG00000018604	Tbx3
5	ENSMUSG00000019359	Gdpd2
5	ENSMUSG00000019732	Calr3
5	ENSMUSG00000019820	Utrn
5	ENSMUSG00000019984	Med23
5	ENSMUSG00000021071	Trim9
5	ENSMUSG00000021277	Traf3
5	ENSMUSG00000021375	Kif13a
5	ENSMUSG00000021720	Rnf180
5	ENSMUSG00000021823	Vcl
5	ENSMUSG00000022195	6030458C11Rik
5	ENSMUSG00000022790	Igsf11
5	ENSMUSG00000022871	Fetub
5	ENSMUSG00000022893	Adamts1
5	ENSMUSG00000024049	Myom1
5	ENSMUSG00000024261	Syt4
5	ENSMUSG00000024451	Arap3
5	ENSMUSG00000024900	Cpt1a
5	ENSMUSG00000026077	Npas2
5	ENSMUSG00000026692	Fmo4
5	ENSMUSG00000026822	Lcn2
5	ENSMUSG00000027716	Trpc3
5	ENSMUSG00000028150	Rorc
5	ENSMUSG00000028468	Rgp1
5	ENSMUSG00000028532	Cachd1
5	ENSMUSG00000028555	Ttc39a
5	ENSMUSG00000029174	Tbc1d1
5	ENSMUSG00000030068	Gm20696
5	ENSMUSG00000030107	Usp18
5	ENSMUSG00000030515	Tarsl2
5	ENSMUSG00000030811	Fbxl19
5	ENSMUSG00000031111	Igsf1
5	ENSMUSG00000031328	Flna
5	ENSMUSG00000032115	Hyou1
5	ENSMUSG00000032289	Thsd4
5	ENSMUSG00000032480	Dhx30
5	ENSMUSG00000032777	Gtf3c1
5	ENSMUSG00000032890	Rims3
5	ENSMUSG00000033306	Lpp
5	ENSMUSG00000033453	Adamts15
5	ENSMUSG00000033623	Pcgf3
5	ENSMUSG00000034171	Faah
5	ENSMUSG00000034731	Dgkh
5	ENSMUSG00000034906	Ncaph
5	ENSMUSG00000034926	Dhcr24
5	ENSMUSG00000035181	Heatr5a
5	ENSMUSG00000035864	Syt1
5	ENSMUSG00000035948	Acss3
5	ENSMUSG00000036061	Smug1
5	ENSMUSG00000036208	BC027231
5	ENSMUSG00000036923	Stox1
5	ENSMUSG00000037709	Fam13a
5	ENSMUSG00000037999	Arap2
5	ENSMUSG00000038170	Pde4dip
5	ENSMUSG00000038473	Nos1ap
5	ENSMUSG00000038718	Pbx3
5	ENSMUSG00000039470	Zdhhc2
5	ENSMUSG00000039929	Urb1
5	ENSMUSG00000040537	Adam22
5	ENSMUSG00000042046	Dstyk
5	ENSMUSG00000042190	Cmklr1
5	ENSMUSG00000042607	Asb4
5	ENSMUSG00000042644	Itpr3
5	ENSMUSG00000044576	Gareml
5	ENSMUSG00000046410	Kcnk6
5	ENSMUSG00000046591	Ticrr
5	ENSMUSG00000046908	Ltb4r1
5	ENSMUSG00000048232	Fbxo10
5	ENSMUSG00000049516	Spty2d1
5	ENSMUSG00000049553	Polr1a
5	ENSMUSG00000050315	Synpo2
5	ENSMUSG00000050505	Pcdh20
5	ENSMUSG00000050677	Ccdc96
5	ENSMUSG00000050919	Zfp366
5	ENSMUSG00000051278	Zgrf1
5	ENSMUSG00000051341	Zfp52
5	ENSMUSG00000051648	Kctd19
5	ENSMUSG00000051977	Prdm9
5	ENSMUSG00000052504	Epha3
5	ENSMUSG00000053461	Hhipl2
5	ENSMUSG00000054203	Ifi205
5	ENSMUSG00000056900	Usp13
5	ENSMUSG00000057722	Lepr
5	ENSMUSG00000058740	Kcnt1
5	ENSMUSG00000060735	Rxfp3
5	ENSMUSG00000061894	Zscan20
5	ENSMUSG00000066113	Adamtsl1
5	ENSMUSG00000067206	Lrrc66
5	ENSMUSG00000067928	Zfp760
5	ENSMUSG00000068115	Ninl
5	ENSMUSG00000069227	Gprin1
5	ENSMUSG00000071036	Gm10309
5	ENSMUSG00000071047	Ces1a
5	ENSMUSG00000073557	Ppp1r12b
5	ENSMUSG00000073700	Klhl21
5	ENSMUSG00000074004	B3gnt6
5	ENSMUSG00000074384	AI429214
5	ENSMUSG00000078684	5830417I10Rik
5	ENSMUSG00000078937	Cpt1b
5	ENSMUSG00000079020	Slc45a4
5	ENSMUSG00000079362	Gbp6
5	ENSMUSG00000080859	Rpl10-ps1
5	ENSMUSG00000090035	Galnt4
5	ENSMUSG00000091387	Gcnt4
5	ENSMUSG00000091478	Gm10039
5	ENSMUSG00000092329	Gm20388
5	ENSMUSG00000098428	Gm2260
5	ENSMUSG00000099032	Tcf24
6	ENSMUSG00000000037	Scml2
6	ENSMUSG00000001985	Grik3
6	ENSMUSG00000002032	Tmem25
6	ENSMUSG00000003435	Supt5
6	ENSMUSG00000004508	Gab2
6	ENSMUSG00000004677	Myo9b
6	ENSMUSG00000004815	Dgkq
6	ENSMUSG00000007817	Zmiz1
6	ENSMUSG00000009394	Syn2
6	ENSMUSG00000013483	Card14
6	ENSMUSG00000015750	Aph1a
6	ENSMUSG00000015944	Gatsl2
6	ENSMUSG00000016128	Stard13
6	ENSMUSG00000017453	Pipox
6	ENSMUSG00000020576	Nbas
6	ENSMUSG00000020741	Cluh
6	ENSMUSG00000020747	2310067B10Rik
6	ENSMUSG00000020788	Atp2a3
6	ENSMUSG00000021032	Ngb
6	ENSMUSG00000021364	Elovl2
6	ENSMUSG00000022801	Lrch3
6	ENSMUSG00000023977	Ubr2
6	ENSMUSG00000024066	Xdh
6	ENSMUSG00000024251	Thada
6	ENSMUSG00000024542	Cep192
6	ENSMUSG00000024978	Gpam
6	ENSMUSG00000025092	Hspa12a
6	ENSMUSG00000025241	Fyco1
6	ENSMUSG00000025266	Gnl3l
6	ENSMUSG00000025324	Atp10a
6	ENSMUSG00000025885	Myo5b
6	ENSMUSG00000026407	Cacna1s
6	ENSMUSG00000026764	Kif5c
6	ENSMUSG00000026828	Galnt5
6	ENSMUSG00000026924	Sec16a
6	ENSMUSG00000027580	Helz2
6	ENSMUSG00000027650	Tti1
6	ENSMUSG00000027668	Mfn1
6	ENSMUSG00000027678	Ncoa3
6	ENSMUSG00000027684	Mecom
6	ENSMUSG00000027875	Hmgcs2
6	ENSMUSG00000027878	Notch2
6	ENSMUSG00000027983	Cyp2u1
6	ENSMUSG00000027993	Trim2
6	ENSMUSG00000028246	Faxc
6	ENSMUSG00000028909	Ptpru
6	ENSMUSG00000029009	Mthfr
6	ENSMUSG00000029313	Aff1
6	ENSMUSG00000029547	Ints1
6	ENSMUSG00000029587	Zfp12
6	ENSMUSG00000029708	Gcc1
6	ENSMUSG00000029720	Gm20605
6	ENSMUSG00000030084	Plxna1
6	ENSMUSG00000030306	Tmtc1
6	ENSMUSG00000030393	Zik1
6	ENSMUSG00000030816	Rnf40
6	ENSMUSG00000030921	Trim30a
6	ENSMUSG00000031385	Plxnb3
6	ENSMUSG00000031431	Tsc22d3
6	ENSMUSG00000031574	Star
6	ENSMUSG00000031870	Pgr
6	ENSMUSG00000032198	Dock6
6	ENSMUSG00000032338	Hcn4
